wmo,cycle,date,latitude,longitude
3902332,2,2024-07-10T07:40:20Z,41.957,-46.147
3902332,7,2024-08-29T00:24:08Z,41.731,-48.734
3902332,53,2025-12-03T21:44:45Z,42.556,-61.715
3902333,3,2024-08-07T07:01:24Z,62.463,-35.983
3902334,37,2026-03-19T21:22:04Z,37.584,-59.03
3902340,20,2025-04-14T19:43:31Z,20.457,-178.428
3902341,1,2024-10-10T19:45:50Z,15.955,154.06
3902342,120,2025-02-16T10:43:05Z,22.386,-177.634
3902342,198,2025-05-12T09:26:45Z,22.365,-173.864
3902342,255,2025-06-12T20:14:34Z,21.126,-173.631
3902343,24,2025-05-26T05:15:18Z,20.046,173.926
3902343,52,2026-03-03T23:27:26Z,21.078,175.152
3902344,7,2024-12-05T09:02:53Z,19.799,176.393
3902345,26,2025-06-19T18:07:08Z,12.215,153.791
3902348,37,2025-12-14T05:30:43Z,25.84,-62.091
3902454,132,2025-09-07T12:18:46Z,9.59,161.564
3902454,169,2026-02-17T10:41:17Z,10.051,165.179
3902472,67,2024-08-29T06:49:09Z,-29.286,33.681
3902490,22,2024-03-11T00:31:42Z,-2.03,56.009
3902492,8,2024-03-09T08:13:34Z,-64.793,-56.273
3902498,53,2024-06-05T12:51:45Z,10.965,-23.713
3902498,147,2026-03-31T13:20:21Z,12.111,-20.447
3902533,40,2025-04-24T04:58:38Z,-4.595,-177.393
3902542,11,2026-05-24T13:55:13Z,9.657,179.634
3902543,1,2026-06-07T06:30:08Z,9.508,-130.017
3902543,7,2026-06-30T12:49:21Z,9.478,-130.573
3902554,52,2025-02-13T12:09:54Z,-37.775,44.344
3902554,82,2025-12-18T14:05:31Z,-31.784,45.565
3902556,26,2024-08-23T05:29:46Z,-16.454,-78.274
3902556,45,2025-03-06T04:43:15Z,-13.635,-81.625
3902559,153,2025-04-13T19:53:50Z,20.557,-159.778
3902564,53,2024-03-14T07:30:58Z,,
3902589,38,2025-02-07T00:55:31Z,7.805,-19.587
3902612,16,2025-04-18T00:18:58Z,-49.868,-143.262
3902615,25,2025-09-09T07:32:58Z,27.315,-39.175
3902615,35,2025-12-19T06:16:42Z,26.952,-37.478
3902643,14,2026-05-13T17:15:39Z,-59.69,-0.429
3902644,6,2026-01-20T22:26:47Z,-39.762,157.153
3902645,11,2026-04-11T03:30:47Z,-27.863,106.036
3902645,19,2026-07-02T15:20:36Z,-26.286,107.993
3902649,9,2026-06-20T15:27:22Z,-56.966,40.285
